filename,photo_path,label,degradation_type,brightness,blur_laplacian,contrast
1725582018_1725581514_5.jpg,"images/517,617/1725582018_1725581514_5.jpg",Healthy,low_brightness,123.8,5013.6,49.8
1725236519_1725235965_6.jpg,"images/2110,314/1725236519_1725235965_6.jpg",Healthy,low_brightness,124.8,2448.5,50.0
1728800217_1728799864_4.jpg,"images/14,414/1728800217_1728799864_4.jpg",Healthy,low_brightness,124.2,3149.5,45.9
1728627430_1728627064_4.jpg,"images/14,414/1728627430_1728627064_4.jpg",Healthy,low_brightness,120.0,3835.3,49.5
1728000928_1728000664_4.jpg,"images/511,611/1728000928_1728000664_4.jpg",Healthy,low_brightness,127.2,2977.3,42.3
1725668309_1725667903_5.jpg,"images/214,311/1725668309_1725667903_5.jpg",Other,low_brightness,123.8,3430.0,47.7
1725581914_1725581507_5.jpg,"images/514,614/1725581914_1725581507_5.jpg",Healthy,low_brightness,127.3,3367.3,47.6
1725495502_1725495110_5.jpg,"images/214,311/1725495502_1725495110_5.jpg",Healthy,low_brightness,121.8,3422.2,49.1
1748312328_1748311906_5.jpg,"images/514,614/1748312328_1748311906_5.jpg",Stress,low_brightness,127.4,4103.8,47.9
1725243565_1725243108_5.jpg,"images/517,617/1725243565_1725243108_5.jpg",Healthy,low_brightness,126.2,4019.3,48.0
1725236234_1725235864_4.jpg,"images/14,414/1725236234_1725235864_4.jpg",Healthy,low_brightness,120.4,3953.1,51.4
1725495340_1725495063_4.jpg,"images/511,611/1725495340_1725495063_4.jpg",Healthy,low_brightness,126.2,3558.4,44.8
1728363229_1727914307_5.jpg,"images/517,617/1728363229_1727914307_5.jpg",Healthy,low_brightness,128.9,5353.2,46.1
1728627362_1728627064_4.jpg,"images/111,211/1728627362_1728627064_4.jpg",Healthy,low_brightness,127.6,3122.7,43.2
1725236519_1725235965_6.jpg,"images/2110,314/1725236519_1725235965_6.jpg",Healthy,low_brightness,124.8,2448.5,50.0
1728973023_1728972664_4.jpg,"images/14,414/1728973023_1728972664_4.jpg",Healthy,low_brightness,115.7,3388.4,50.3
1725581914_1725581507_5.jpg,"images/514,614/1725581914_1725581507_5.jpg",Healthy,low_brightness,127.3,3367.3,47.6
1746145113_1746144710_5.jpg,"images/214,311/1746145113_1746144710_5.jpg",Stress,low_brightness,127.1,4352.0,45.9
1730096200_1730095864_4.jpg,"images/14,414/1730096200_1730095864_4.jpg",Healthy,low_brightness,120.5,2105.2,45.9
1743920550_1743761491_5.jpg,"images/214,311/1743920550_1743761491_5.jpg",Stress,low_brightness,127.4,572.0,38.3
1728714014_1728713509_5.jpg,"images/517,617/1728714014_1728713509_5.jpg",Healthy,low_brightness,123.1,6505.2,51.8
1727914536_1727914263_4.jpg,"images/511,611/1727914536_1727914263_4.jpg",Healthy,low_brightness,125.7,2997.1,42.6
1725495447_1725495064_4.jpg,"images/14,414/1725495447_1725495064_4.jpg",Healthy,low_brightness,119.6,4233.8,51.6
1749600912_1749600664_4.jpg,"images/511,611/1749600912_1749600664_4.jpg",Stress,low_brightness,122.3,3665.2,49.0
1729232387_1729231901_5.jpg,"images/517,617/1729232387_1729231901_5.jpg",Healthy,low_brightness,123.8,6051.0,50.4
1749600912_1749600664_4.jpg,"images/511,611/1749600912_1749600664_4.jpg",Stress,low_brightness,122.3,3665.2,49.0
1747880474_1747879952_6.jpg,"images/11,411/1747880474_1747879952_6.jpg",Stress,low_brightness,123.4,4410.0,48.1
1748909705_1748909464_4.jpg,"images/511,611/1748909705_1748909464_4.jpg",Stress,low_brightness,121.4,3759.8,49.8
1725236155_1725235864_4.jpg,"images/111,211/1725236155_1725235864_4.jpg",Healthy,low_brightness,125.6,2494.9,45.8
1746404306_1746403911_5.jpg,"images/214,311/1746404306_1746403911_5.jpg",Stress,low_brightness,126.0,4360.4,46.6
1747794089_1747793549_6.jpg,"images/11,411/1747794089_1747793549_6.jpg",Stress,low_brightness,127.2,4357.9,45.5
1725437988_1725437512_5.jpg,"images/517,617/1725437988_1725437512_5.jpg",Healthy,low_brightness,128.5,4534.7,45.5
1743920550_1743761491_5.jpg,"images/214,311/1743920550_1743761491_5.jpg",Stress,low_brightness,127.4,572.0,38.3
1727914536_1727914263_4.jpg,"images/511,611/1727914536_1727914263_4.jpg",Healthy,low_brightness,125.7,2997.1,42.6
1725754552_1725754263_4.jpg,"images/511,611/1725754552_1725754263_4.jpg",Healthy,low_brightness,128.6,3427.8,43.1
1749255466_1749255105_5.jpg,"images/214,311/1749255466_1749255105_5.jpg",Stress,low_brightness,126.7,3281.9,47.0
1725437988_1725437512_5.jpg,"images/517,617/1725437988_1725437512_5.jpg",Healthy,low_brightness,128.5,4534.7,45.5
1725495753_1725495166_6.jpg,"images/2110,314/1725495753_1725495166_6.jpg",Healthy,low_brightness,127.2,2693.2,49.9
1746404340_1746403911_5.jpg,"images/514,614/1746404340_1746403911_5.jpg",Stress,low_brightness,128.1,4241.6,45.6
1725754552_1725754263_4.jpg,"images/511,611/1725754552_1725754263_4.jpg",Healthy,low_brightness,128.6,3427.8,43.1
1725344277_1725343904_5.jpg,"images/514,614/1725344277_1725343904_5.jpg",Healthy,low_brightness,121.4,2109.4,47.4
1725322541_1725322264_4.jpg,"images/511,611/1725322541_1725322264_4.jpg",Healthy,low_brightness,128.9,3100.4,43.8
1725927446_1725927064_4.jpg,"images/14,414/1725927446_1725927064_4.jpg",Healthy,low_brightness,119.8,4688.8,49.9
1725322541_1725322264_4.jpg,"images/511,611/1725322541_1725322264_4.jpg",Healthy,low_brightness,128.9,3100.4,43.8
1725927502_1725927111_5.jpg,"images/214,311/1725927502_1725927111_5.jpg",Healthy,low_brightness,124.9,3512.1,45.0
1749601059_1749600707_5.jpg,"images/214,311/1749601059_1749600707_5.jpg",Stress,low_brightness,119.9,3471.0,51.6
1725754652_1725754264_4.jpg,"images/14,414/1725754652_1725754264_4.jpg",Healthy,low_brightness,123.4,4395.7,49.0
1729319100_1729318401_7.jpg,"images/114,217/1729319100_1729318401_7.jpg",Healthy,low_brightness,128.7,4827.9,43.0
1725581845_1725581464_4.jpg,"images/14,414/1725581845_1725581464_4.jpg",Healthy,low_brightness,122.6,4173.5,50.1
